server_id,day,start_h,end_h
TEST_WebPortal_01,5,6,22
TEST_WebPortal_01,6,6,22
TEST_WebPortal_02,0,22,24
TEST_WebPortal_02,1,22,24
TEST_WebPortal_02,2,22,24
TEST_WebPortal_02,3,22,24
TEST_WebPortal_02,4,22,24
TEST_WebPortal_02,5,6,22
TEST_WebPortal_02,6,6,22
TEST_ERP_01,0,22,24
TEST_ERP_01,1,22,24
TEST_ERP_01,2,22,24
TEST_ERP_01,3,22,24
TEST_ERP_01,4,22,24
TEST_ERP_01,5,6,22
TEST_ERP_01,6,6,22
TEST_ERP_02,0,22,24
TEST_ERP_02,1,22,24
TEST_ERP_02,2,22,24
TEST_ERP_02,3,22,24
TEST_ERP_02,4,22,24
TEST_ERP_02,5,6,22
TEST_ERP_02,6,6,22
TEST_Analytics_01,0,22,24
TEST_Analytics_01,1,22,24
TEST_Analytics_01,2,22,24
TEST_Analytics_01,3,22,24
TEST_Analytics_01,4,22,24
TEST_Analytics_01,5,6,22
TEST_Analytics_01,6,6,22
TEST_Analytics_02,0,22,24
TEST_Analytics_02,1,22,24
TEST_Analytics_02,2,22,24
TEST_Analytics_02,3,22,24
TEST_Analytics_02,4,22,24
TEST_Analytics_02,5,6,22
TEST_Analytics_02,6,6,22
TEST_Email_01,0,22,24
TEST_Email_01,1,22,24
TEST_Email_01,2,22,24
TEST_Email_01,3,22,24
TEST_Email_01,4,22,24
TEST_Email_01,5,6,22
TEST_Email_01,6,6,22
TEST_Email_02,0,22,24
TEST_Email_02,1,22,24
TEST_Email_02,2,22,24
TEST_Email_02,3,22,24
TEST_Email_02,4,22,24
TEST_Email_02,5,6,22
TEST_Email_02,6,6,22
TEST_FileServices_01,0,22,24
TEST_FileServices_01,1,22,24
TEST_FileServices_01,2,22,24
TEST_FileServices_01,3,22,24
TEST_FileServices_01,4,22,24
TEST_FileServices_01,5,6,22
TEST_FileServices_01,6,6,22
TEST_FileServices_02,0,22,24
TEST_FileServices_02,1,22,24
TEST_FileServices_02,2,22,24
TEST_FileServices_02,3,22,24
TEST_FileServices_02,4,22,24
TEST_FileServices_02,5,6,22
TEST_FileServices_02,6,6,22
TEST_CRM_01,0,22,24
TEST_CRM_01,1,22,24
TEST_CRM_01,2,22,24
TEST_CRM_01,3,22,24
TEST_CRM_01,4,22,24
TEST_CRM_01,5,6,22
TEST_CRM_01,6,6,22
TEST_CRM_02,0,22,24
TEST_CRM_02,1,22,24
TEST_CRM_02,2,22,24
TEST_CRM_02,3,22,24
TEST_CRM_02,4,22,24
TEST_CRM_02,5,6,22
TEST_CRM_02,6,6,22
TEST_Database_01,0,22,24
TEST_Database_01,1,22,24
TEST_Database_01,2,22,24
TEST_Database_01,3,22,24
TEST_Database_01,4,22,24
TEST_Database_01,5,6,22
TEST_Database_01,6,6,22
TEST_Database_02,0,22,24
TEST_Database_02,1,22,24
TEST_Database_02,2,22,24
TEST_Database_02,3,22,24
TEST_Database_02,4,22,24
TEST_Database_02,5,6,22
TEST_Database_02,6,6,22
TEST_Security_01,0,22,24
TEST_Security_01,1,22,24
TEST_Security_01,2,22,24
TEST_Security_01,3,22,24
TEST_Security_01,4,22,24
TEST_Security_01,5,6,22
TEST_Security_01,6,6,22
TEST_Security_02,0,22,24
TEST_Security_02,1,22,24
TEST_Security_02,2,22,24
TEST_Security_02,3,22,24
TEST_Security_02,4,22,24
TEST_Security_02,5,6,22
TEST_Security_02,6,6,22
TEST_Integration_01,0,22,24
TEST_Integration_01,1,22,24
TEST_Integration_01,2,22,24
TEST_Integration_01,3,22,24
TEST_Integration_01,4,22,24
TEST_Integration_01,5,6,22
TEST_Integration_01,6,6,22
TEST_Integration_02,0,22,24
TEST_Integration_02,1,22,24
TEST_Integration_02,2,22,24
TEST_Integration_02,3,22,24
TEST_Integration_02,4,22,24
TEST_Integration_02,5,6,22
TEST_Integration_02,6,6,22
TEST_Monitoring_01,0,22,24
TEST_Monitoring_01,1,22,24
TEST_Monitoring_01,2,22,24
TEST_Monitoring_01,3,22,24
TEST_Monitoring_01,4,22,24
TEST_Monitoring_01,5,6,22
TEST_Monitoring_01,6,6,22
TEST_Monitoring_02,0,22,24
TEST_Monitoring_02,1,22,24
TEST_Monitoring_02,2,22,24
TEST_Monitoring_02,3,22,24
TEST_Monitoring_02,4,22,24
TEST_Monitoring_02,5,6,22
TEST_Monitoring_02,6,6,22
PROD_WebPortal_01,2,2,5
PROD_WebPortal_01,6,2,6
PROD_WebPortal_02,2,2,5
PROD_WebPortal_02,6,2,6
PROD_ERP_01,2,2,5
PROD_ERP_01,6,2,6
PROD_ERP_02,2,2,5
PROD_ERP_02,6,2,6
PROD_Analytics_01,2,2,5
PROD_Analytics_01,6,2,6
PROD_Analytics_02,2,2,5
PROD_Analytics_02,6,2,6
PROD_Email_01,2,2,5
PROD_Email_01,6,2,6
PROD_Email_02,2,2,5
PROD_Email_02,6,2,6
PROD_FileServices_01,2,2,5
PROD_FileServices_01,6,2,6
PROD_FileServices_02,2,2,5
PROD_FileServices_02,6,2,6
PROD_CRM_01,2,2,5
PROD_CRM_01,6,2,6
PROD_CRM_02,2,2,5
PROD_CRM_02,6,2,6
PROD_Database_01,2,2,5
PROD_Database_01,6,2,6
PROD_Database_02,2,2,5
PROD_Database_02,6,2,6
PROD_Security_01,2,2,5
PROD_Security_01,6,2,6
PROD_Security_02,2,2,5
PROD_Security_02,6,2,6
PROD_Integration_01,2,2,5
PROD_Integration_01,6,2,6
PROD_Integration_02,2,2,5
PROD_Integration_02,6,2,6
PROD_Monitoring_01,2,2,5
PROD_Monitoring_01,6,2,6
PROD_Monitoring_02,2,2,5
PROD_Monitoring_02,6,2,6
