cve_id,base_severity,base_score,exploitability_score,impact_score,epss_score,epss_perc,cisa_kev,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,published_date
CVE-2005-4891,CRITICAL,9.8,3.9,5.9,0.00271,0.50266,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2020-01-15T17:15Z
CVE-2006-0061,CRITICAL,9.8,3.9,5.9,0.00444,0.62408,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-11-06T02:15Z
CVE-2006-0062,CRITICAL,9.8,3.9,5.9,0.0013,0.33246,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-11-06T03:15Z
CVE-2006-10001,MEDIUM,5.4,2.3,2.7,0.0011,0.30043,False,NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2023-03-05T21:15Z
CVE-2006-20001,HIGH,7.5,3.9,3.6,0.00696,0.70962,False,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2023-01-17T20:15Z
CVE-2006-3100,CRITICAL,9.8,3.9,5.9,0.00512,0.65424,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-11-06T03:15Z
CVE-2006-4243,CRITICAL,9.8,3.9,5.9,0.00372,0.58099,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-11-06T03:15Z
CVE-2006-4245,HIGH,8.1,2.2,5.9,0.00335,0.55609,False,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-11-06T03:15Z
CVE-2006-7246,MEDIUM,6.8,1.6,5.2,0.00065,0.20389,False,ADJACENT_NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,HIGH,NONE,2020-01-27T15:15Z
CVE-2006-7254,MEDIUM,5.5,1.8,3.6,0.00042,0.11598,False,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,2019-04-10T20:29Z
CVE-2007-0158,CRITICAL,9.8,3.9,5.9,0.00418,0.60969,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-12-27T18:15Z
CVE-2007-0899,CRITICAL,9.8,3.9,5.9,0.00451,0.6273,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-11-06T04:15Z
CVE-2007-10001,HIGH,7.5,3.9,3.6,0.00065,0.20387,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,2023-01-05T12:15Z
CVE-2007-10002,CRITICAL,9.8,3.9,5.9,0.00056,0.17121,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2023-01-08T10:15Z
CVE-2007-10003,HIGH,8.8,2.8,5.9,0.00129,0.33155,False,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2023-10-29T18:15Z
CVE-2007-20001,HIGH,7.5,3.9,3.6,0.00389,0.59149,False,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2022-02-06T21:15Z
CVE-2007-3732,MEDIUM,5.5,1.8,3.6,0.00164,0.37894,False,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,2019-11-07T22:15Z
CVE-2007-3915,CRITICAL,9.1,3.9,5.2,0.00361,0.57433,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,NONE,2019-11-07T22:15Z
CVE-2007-4773,CRITICAL,9.8,3.9,5.9,0.00633,0.69397,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2020-01-15T17:15Z
CVE-2007-4774,MEDIUM,5.9,2.2,3.6,0.00177,0.39577,False,NETWORK,HIGH,NONE,NONE,UNCHANGED,NONE,HIGH,NONE,2020-01-15T17:15Z
CVE-2007-5743,HIGH,7.5,3.9,3.6,0.00346,0.56402,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,2019-11-07T22:15Z
CVE-2007-5967,MEDIUM,6.5,2.8,3.6,0.00108,0.29673,False,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,NONE,HIGH,NONE,2021-05-17T12:15Z
CVE-2007-6745,CRITICAL,9.8,3.9,5.9,0.00651,0.69878,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-11-07T23:15Z
CVE-2007-6758,HIGH,7.5,3.9,3.6,0.0029,0.51997,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,2020-01-23T16:15Z
CVE-2007-6762,CRITICAL,9.8,3.9,5.9,0.008,0.73052,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-07-27T22:15Z
CVE-2007-6763,HIGH,8.8,2.8,5.9,0.00511,0.65368,False,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-07-31T18:15Z
CVE-2008-10001,MEDIUM,6.1,2.8,2.7,0.00207,0.43103,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2022-03-28T21:15Z
CVE-2008-10002,MEDIUM,6.1,2.8,2.7,0.00058,0.17989,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2023-03-05T02:15Z
CVE-2008-10003,CRITICAL,9.8,3.9,5.9,0.00045,0.12669,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2023-03-05T02:15Z
CVE-2008-10004,CRITICAL,9.8,3.9,5.9,0.00044,0.12284,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2023-03-06T23:15Z
CVE-2008-2544,MEDIUM,5.5,1.8,3.6,0.00041,0.11301,False,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,NONE,2021-05-27T13:15Z
CVE-2008-3278,HIGH,7.8,1.8,5.9,0.00049,0.14572,False,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-11-07T23:15Z
CVE-2008-3280,MEDIUM,5.9,2.2,3.6,0.05925,0.90256,False,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,2021-05-21T20:15Z
CVE-2008-5083,MEDIUM,6.5,2.8,3.6,0.00328,0.55068,False,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE,2019-11-08T00:15Z
CVE-2008-7272,HIGH,7.5,3.9,3.6,0.00218,0.44346,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,2019-11-08T00:15Z
CVE-2008-7273,HIGH,7.8,1.8,5.9,0.00201,0.42418,False,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-11-18T22:15Z
CVE-2008-7291,CRITICAL,9.8,3.9,5.9,0.00432,0.61771,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-11-08T00:15Z
CVE-2008-7314,HIGH,7.5,3.9,3.6,0.00408,0.60313,False,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2020-01-23T15:15Z
CVE-2008-7320,MEDIUM,6.8,0.9,5.9,0.00076,0.23371,False,PHYSICAL,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2018-11-18T19:29Z
CVE-2008-7321,MEDIUM,6.1,2.8,2.7,0.0019,0.41066,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2019-08-22T14:15Z
CVE-2009-0035,MEDIUM,5.5,1.8,3.6,0.00181,0.40063,False,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,NONE,2019-11-09T03:15Z
CVE-2009-0947,CRITICAL,9.8,3.9,5.9,0.00392,0.59399,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2021-06-02T16:15Z
CVE-2009-0948,CRITICAL,9.8,3.9,5.9,0.00416,0.60806,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2021-06-02T16:15Z
CVE-2009-10001,MEDIUM,6.1,2.8,2.7,0.00075,0.23073,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2023-01-13T18:15Z
CVE-2009-10002,MEDIUM,6.1,2.8,2.7,0.00059,0.18395,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2023-01-13T18:15Z
CVE-2009-10003,MEDIUM,6.1,2.8,2.7,0.00059,0.18395,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2023-01-29T19:15Z
CVE-2009-10004,MEDIUM,6.1,2.8,2.7,0.00063,0.19668,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2023-04-10T00:15Z
CVE-2009-1120,CRITICAL,9.8,3.9,5.9,0.06097,0.90397,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2020-01-15T18:15Z
CVE-2009-1142,MEDIUM,6.7,0.8,5.9,0.00028,0.05936,False,LOCAL,LOW,HIGH,NONE,UNCHANGED,HIGH,HIGH,HIGH,2022-11-23T18:15Z
CVE-2009-1143,HIGH,7.0,1.0,5.9,0.00016,0.02255,False,LOCAL,HIGH,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2022-11-23T18:15Z
CVE-2009-20001,HIGH,8.1,2.8,5.2,0.00142,0.34977,False,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,NONE,2021-03-07T20:15Z
CVE-2009-2802,MEDIUM,6.1,2.8,2.7,0.0045,0.62686,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2019-11-09T03:15Z
CVE-2009-3552,LOW,3.1,1.6,1.4,0.00187,0.40797,False,ADJACENT_NETWORK,HIGH,NONE,NONE,UNCHANGED,NONE,LOW,NONE,2019-11-09T03:15Z
CVE-2009-3614,LOW,3.3,1.8,1.4,0.00115,0.30918,False,LOCAL,LOW,LOW,NONE,UNCHANGED,LOW,NONE,NONE,2019-11-09T03:15Z
CVE-2009-3721,HIGH,7.8,1.8,5.9,0.00781,0.72709,False,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2021-05-26T22:15Z
CVE-2009-3723,HIGH,7.5,3.9,3.6,0.00653,0.69931,False,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,HIGH,NONE,2019-10-29T19:15Z
CVE-2009-3724,MEDIUM,6.1,2.8,2.7,0.0024,0.47151,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2020-01-15T21:15Z
CVE-2009-3887,CRITICAL,9.8,3.9,5.9,0.00335,0.55614,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-10-29T19:15Z
CVE-2009-4011,HIGH,8.1,2.2,5.9,0.00388,0.59052,False,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-11-09T03:15Z
CVE-2009-4067,MEDIUM,6.8,0.9,5.9,0.00609,0.68721,False,PHYSICAL,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2020-02-11T19:15Z
CVE-2009-4123,HIGH,7.5,3.9,3.6,0.00202,0.42548,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,2023-12-12T16:15Z
CVE-2009-4267,MEDIUM,6.5,2.8,3.6,0.00206,0.43016,False,NETWORK,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,NONE,2018-02-19T16:29Z
CVE-2009-4899,CRITICAL,9.8,3.9,5.9,0.00294,0.5225,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-10-28T15:15Z
CVE-2009-4900,MEDIUM,6.1,2.8,2.7,0.00307,0.53358,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2019-10-28T15:15Z
CVE-2009-5004,MEDIUM,6.5,2.8,3.6,0.0185,0.82235,False,NETWORK,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,2019-11-09T04:15Z
CVE-2009-5025,HIGH,7.5,3.9,3.6,0.0085,0.73931,False,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,HIGH,NONE,2020-01-15T21:15Z
CVE-2009-5041,CRITICAL,9.8,3.9,5.9,0.00704,0.71124,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-10-31T16:15Z
CVE-2009-5042,CRITICAL,9.1,3.9,5.2,0.00372,0.58141,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,NONE,2019-10-31T16:15Z
CVE-2009-5043,CRITICAL,9.8,3.9,5.9,0.00432,0.61771,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-10-31T16:15Z
CVE-2009-5045,HIGH,7.5,3.9,3.6,0.01873,0.82337,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,2019-11-06T20:15Z
CVE-2009-5046,MEDIUM,6.1,2.8,2.7,0.00947,0.75349,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2019-11-06T20:15Z
CVE-2009-5048,MEDIUM,6.1,2.8,2.7,0.01086,0.76937,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2019-11-06T19:15Z
CVE-2009-5049,MEDIUM,6.1,2.8,2.7,0.01111,0.7722,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2019-11-06T19:15Z
CVE-2009-5050,HIGH,7.5,3.9,3.6,0.00367,0.57844,False,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2019-11-06T19:15Z
CVE-2009-5068,HIGH,7.2,1.2,5.9,0.03271,0.86646,False,NETWORK,LOW,HIGH,NONE,UNCHANGED,HIGH,HIGH,HIGH,2020-01-15T21:15Z
CVE-2009-5139,HIGH,7.5,1.6,5.9,0.00196,0.41854,False,NETWORK,HIGH,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2020-02-12T14:15Z
CVE-2009-5140,HIGH,8.8,2.8,5.9,0.00481,0.64124,False,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2020-02-12T14:15Z
CVE-2009-5144,HIGH,7.5,3.9,3.6,0.00163,0.37799,False,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,HIGH,NONE,2018-02-03T15:29Z
CVE-2009-5150,MEDIUM,6.7,0.8,5.9,0.00062,0.19326,False,LOCAL,LOW,HIGH,NONE,UNCHANGED,HIGH,HIGH,HIGH,2018-05-11T19:29Z
CVE-2009-5151,MEDIUM,6.7,0.8,5.9,0.00062,0.19326,False,LOCAL,LOW,HIGH,NONE,UNCHANGED,HIGH,HIGH,HIGH,2018-05-11T19:29Z
CVE-2009-5152,MEDIUM,4.1,0.5,3.6,0.00052,0.15823,False,LOCAL,HIGH,HIGH,NONE,UNCHANGED,NONE,HIGH,NONE,2018-05-11T19:29Z
CVE-2009-5153,CRITICAL,9.8,3.9,5.9,0.13283,0.93875,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2018-11-21T15:29Z
CVE-2009-5154,CRITICAL,9.8,3.9,5.9,0.00795,0.72977,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-02-09T22:29Z
CVE-2009-5155,HIGH,7.5,3.9,3.6,0.01374,0.79434,False,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2019-02-26T02:29Z
CVE-2009-5156,CRITICAL,9.8,3.9,5.9,0.06878,0.90974,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-06-11T21:29Z
CVE-2009-5157,HIGH,8.8,2.8,5.9,0.09398,0.92446,False,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-06-11T21:29Z
CVE-2009-5158,MEDIUM,6.1,2.8,2.7,0.00188,0.40882,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2019-08-22T13:15Z
CVE-2009-5159,MEDIUM,6.1,2.8,2.7,0.00773,0.72564,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2020-03-13T15:15Z
CVE-2010-0109,MEDIUM,6.5,2.8,3.6,0.00553,0.66994,False,ADJACENT_NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2018-02-19T19:29Z
CVE-2010-0206,MEDIUM,5.5,1.8,3.6,0.00443,0.62394,False,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,NONE,NONE,HIGH,2019-10-30T21:15Z
CVE-2010-0207,MEDIUM,5.5,1.8,3.6,0.00443,0.62394,False,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,NONE,NONE,HIGH,2019-10-30T21:15Z
CVE-2010-0398,MEDIUM,6.5,2.8,3.6,0.00431,0.6171,False,NETWORK,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,NONE,2019-10-30T22:15Z
CVE-2010-0737,HIGH,8.0,2.1,5.9,0.00139,0.34506,False,ADJACENT_NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-10-30T23:15Z
CVE-2010-0747,HIGH,7.8,1.8,5.9,0.00039,0.10169,False,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-10-30T23:15Z
CVE-2010-0748,CRITICAL,9.8,3.9,5.9,0.00856,0.74008,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-10-30T23:15Z
CVE-2010-0749,MEDIUM,5.3,3.9,1.4,0.00731,0.71751,False,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,LOW,2019-10-30T23:15Z
CVE-2010-10001,MEDIUM,5.5,1.8,3.6,0.00191,0.41211,False,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,NONE,NONE,HIGH,2022-03-28T21:15Z
CVE-2010-10002,MEDIUM,6.1,2.8,2.7,0.00067,0.20947,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2023-01-01T17:15Z
CVE-2010-10003,CRITICAL,9.8,3.9,5.9,0.00045,0.12669,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2023-01-04T10:15Z
CVE-2010-10004,MEDIUM,6.1,2.8,2.7,0.00059,0.18395,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2023-01-09T08:15Z
CVE-2010-10006,LOW,2.6,1.2,1.4,0.00117,0.31175,False,ADJACENT_NETWORK,HIGH,LOW,NONE,UNCHANGED,LOW,NONE,NONE,2023-01-18T00:15Z
CVE-2010-10007,CRITICAL,9.8,3.9,5.9,0.00045,0.12669,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2023-01-18T06:15Z
CVE-2010-10008,MEDIUM,5.4,2.3,2.7,0.0007,0.21724,False,NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2023-01-17T08:15Z
CVE-2010-10009,CRITICAL,9.8,3.9,5.9,0.00045,0.12669,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2023-01-18T21:15Z
CVE-2010-10010,MEDIUM,6.1,2.8,2.7,0.00066,0.20493,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2023-06-01T05:15Z
CVE-2010-10011,HIGH,7.5,3.9,3.6,0.00237,0.46697,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,2024-01-12T20:15Z
CVE-2010-1432,HIGH,7.5,3.9,3.6,8e-05,0.00408,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,2021-06-21T23:15Z
CVE-2010-1433,CRITICAL,9.8,3.9,5.9,0.00017,0.02401,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2021-06-21T23:15Z
CVE-2010-1434,HIGH,7.5,3.9,3.6,6e-05,0.00281,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,2021-06-21T23:15Z
CVE-2010-1435,CRITICAL,9.8,3.9,5.9,0.00014,0.01498,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2021-06-21T23:15Z
CVE-2010-1673,MEDIUM,6.1,2.8,2.7,0.00332,0.55387,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2019-10-30T23:15Z
CVE-2010-1678,HIGH,7.5,3.9,3.6,0.00681,0.70633,False,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2019-10-29T21:15Z
CVE-2010-2061,HIGH,7.8,1.8,5.9,0.00061,0.18958,False,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-10-29T22:15Z
CVE-2010-2064,HIGH,7.1,1.8,5.2,0.00072,0.22299,False,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,NONE,2019-10-29T22:15Z
CVE-2010-2222,HIGH,7.5,3.9,3.6,0.00436,0.6206,False,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2019-11-05T20:15Z
CVE-2010-2243,HIGH,7.5,3.9,3.6,0.00788,0.72879,False,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2019-11-07T17:15Z
CVE-2010-2247,HIGH,7.5,3.9,3.6,0.00468,0.635,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,2019-11-06T17:15Z
CVE-2010-2250,MEDIUM,6.1,2.8,2.7,0.00441,0.62276,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2019-11-07T18:15Z
CVE-2010-2446,CRITICAL,9.8,3.9,5.9,0.00776,0.72629,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-11-06T17:15Z
CVE-2010-2447,CRITICAL,9.8,3.9,5.9,0.0051,0.65331,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-11-07T20:15Z
CVE-2010-2449,MEDIUM,6.5,2.8,3.6,0.00563,0.67352,False,NETWORK,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,NONE,2019-11-07T20:15Z
CVE-2010-2450,HIGH,7.5,3.9,3.6,0.00163,0.37799,False,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,2019-11-07T21:15Z
CVE-2010-2471,MEDIUM,6.1,2.8,2.7,0.00479,0.64033,False,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2019-11-06T18:15Z
CVE-2010-2472,MEDIUM,4.8,1.7,2.7,0.00441,0.62273,False,NETWORK,LOW,HIGH,REQUIRED,CHANGED,LOW,LOW,NONE,2019-11-07T19:15Z
CVE-2010-2473,MEDIUM,6.5,2.8,3.6,0.00277,0.50698,False,NETWORK,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,NONE,2019-11-07T19:15Z
