id,os_name,os_version,rto_hours
Srv_PROD_015,Windows,Server 2022,7
Srv_DEV_016,Windows,Server 2022,48
Srv_UAT_016,Windows,Server 2022,12
Srv_PROD_016,Windows,Server 2022,7
Srv_DEV_017,Windows,Server 2022,48
Srv_UAT_017,Windows,Server 2022,12
Srv_PROD_017,Windows,Server 2022,7
Srv_DEV_018,Windows,Server 2022,48
Srv_UAT_018,Windows,Server 2022,12
Srv_PROD_018,Windows,Server 2022,3
Srv_DEV_019,Windows,Server 2022,48
Srv_UAT_019,Windows,Server 2022,12
Srv_PROD_019,Windows,Server 2022,7
Srv_DEV_020,Windows,Server 2022,48
Srv_UAT_020,Windows,Server 2022,12
Srv_PROD_020,Windows,Server 2022,7
Srv_DEV_021,Windows,Server 2022,48
Srv_UAT_021,Windows,Server 2022,12
Srv_PROD_021,Windows,Server 2022,3
Srv_DEV_022,Windows,Server 2022,48
Srv_UAT_022,Windows,Server 2022,12
Srv_PROD_022,Windows,Server 2022,7
Srv_DEV_023,Windows,Server 2022,48
Srv_UAT_023,Windows,Server 2022,12
Srv_PROD_023,Windows,Server 2022,7
Srv_DEV_024,Windows,Server 2022,48
Srv_UAT_024,Windows,Server 2022,12
Srv_PROD_024,Windows,Server 2022,3
Srv_DEV_025,Windows,Server 2022,48
Srv_UAT_025,Windows,Server 2022,3
Srv_PROD_025,Windows,Server 2022,7
Srv_DEV_026,Windows,Server 2022,48
Srv_UAT_026,Windows,Server 2022,3
Srv_PROD_026,Windows,Server 2022,7
Srv_DEV_027,Windows,Server 2022,48
Srv_UAT_027,Windows,Server 2022,12
Srv_PROD_027,Windows,Server 2022,7
Srv_DEV_028,Windows,Server 2022,48
Srv_UAT_028,Windows,Server 2022,12
Srv_PROD_028,Windows,Server 2022,7
Srv_DEV_029,Windows,Server 2022,48
Srv_UAT_029,Windows,Server 2022,3
Srv_PROD_029,Windows,Server 2022,7
Srv_DEV_030,Windows,Server 2022,48
Srv_UAT_030,Windows,Server 2022,12
Srv_PROD_030,Windows,Server 2022,3
Srv_DEV_031,Windows,Server 2022,48
Srv_UAT_031,Windows,Server 2022,12
Srv_PROD_031,Windows,Server 2022,7
Srv_DEV_032,Windows,Server 2022,48
Srv_UAT_032,Windows,Server 2022,12
Srv_PROD_032,Windows,Server 2022,2
Srv_DEV_033,Windows,Server 2022,48
Srv_UAT_033,Windows,Server 2022,12
Srv_PROD_033,Windows,Server 2022,3
Srv_DEV_034,Windows,Server 2022,48
Srv_UAT_034,Windows,Server 2022,3
Srv_PROD_034,Windows,Server 2022,7
Srv_DEV_035,Windows,Server 2022,48
Srv_UAT_035,Windows,Server 2022,12
Srv_PROD_035,Windows,Server 2022,7
Srv_DEV_036,Windows,Server 2022,48
Srv_UAT_036,Windows,Server 2022,12
Srv_PROD_036,Windows,Server 2022,7
Srv_DEV_037,Windows,Server 2022,48
Srv_UAT_037,Windows,Server 2022,12
Srv_PROD_037,Windows,Server 2022,3
Srv_DEV_038,Windows,Server 2022,48
Srv_UAT_038,Windows,Server 2022,12
Srv_PROD_038,Windows,Server 2022,3
Srv_DEV_039,Windows,Server 2022,48
Srv_UAT_039,Windows,Server 2022,12
Srv_PROD_039,Windows,Server 2022,7
Srv_DEV_040,Windows,Server 2022,48
Srv_UAT_040,Windows,Server 2022,12
Srv_PROD_040,Windows,Server 2022,3
Srv_DEV_041,Windows,Server 2022,48
Srv_UAT_041,Windows,Server 2022,12
Srv_PROD_041,Windows,Server 2022,7
Srv_DEV_042,Windows,Server 2022,48
Srv_UAT_042,Windows,Server 2022,12
Srv_PROD_042,Windows,Server 2022,7
Srv_DEV_043,Windows,Server 2022,48
Srv_UAT_043,Windows,Server 2022,12
Srv_PROD_043,Windows,Server 2022,2
Srv_DEV_044,Windows,Server 2022,48
Srv_UAT_044,Windows,Server 2022,12
Srv_PROD_044,Windows,Server 2022,7
Srv_DEV_045,Windows,Server 2022,48
Srv_UAT_045,Windows,Server 2022,12
Srv_PROD_045,Windows,Server 2022,7
Srv_DEV_046,Windows,Server 2022,48
Srv_UAT_046,Windows,Server 2022,3
Srv_PROD_046,Windows,Server 2022,3
Srv_DEV_047,Windows,Server 2022,48
Srv_UAT_047,Windows,Server 2022,12
Srv_PROD_047,Windows,Server 2022,7
Srv_DEV_048,Windows,Server 2022,48
Srv_UAT_048,Windows,Server 2022,12
Srv_PROD_048,Windows,Server 2022,7
Srv_DEV_049,Windows,Server 2022,48
Srv_UAT_049,Windows,Server 2022,12
Srv_PROD_049,Windows,Server 2022,7
Srv_DEV_050,Windows,Server 2022,48
Srv_UAT_050,Windows,Server 2022,12
Srv_PROD_050,Windows,Server 2022,7
Srv_DEV_051,Windows,Server 2022,48
Srv_UAT_051,Windows,Server 2022,3
Srv_PROD_051,Windows,Server 2022,3
Srv_DEV_052,Windows,Server 2022,48
Srv_UAT_052,Windows,Server 2022,12
Srv_PROD_052,Windows,Server 2022,7
Srv_DEV_053,Windows,Server 2022,48
Srv_UAT_053,Windows,Server 2022,12
Srv_PROD_053,Windows,Server 2022,7
Srv_DEV_054,Windows,Server 2022,48
Srv_UAT_054,Windows,Server 2022,12
Srv_PROD_054,Windows,Server 2022,3
Srv_DEV_055,Windows,Server 2022,48
Srv_UAT_055,Windows,Server 2022,3
Srv_PROD_055,Windows,Server 2022,7
Srv_DEV_056,Windows,Server 2022,48
Srv_UAT_056,Windows,Server 2022,3
Srv_PROD_056,Windows,Server 2022,2
Srv_DEV_057,Windows,Server 2022,48
Srv_UAT_057,Windows,Server 2022,12
Srv_PROD_057,Windows,Server 2022,7
Srv_DEV_058,Windows,Server 2022,48
Srv_UAT_058,Windows,Server 2022,12
Srv_PROD_058,Windows,Server 2022,7
Srv_DEV_059,Windows,Server 2022,48
Srv_UAT_059,Windows,Server 2022,12
Srv_PROD_059,Windows,Server 2022,7
Srv_DEV_060,Windows,Server 2022,48
Srv_UAT_060,Windows,Server 2022,12
Srv_PROD_060,Windows,Server 2022,7
Srv_DEV_061,Windows,Server 2022,48
Srv_UAT_061,Windows,Server 2022,12
Srv_PROD_061,Windows,Server 2022,7
Srv_DEV_062,Windows,Server 2022,48
Srv_UAT_062,Windows,Server 2022,3
Srv_PROD_062,Windows,Server 2022,7
Srv_DEV_063,Windows,Server 2022,48
Srv_UAT_063,Windows,Server 2022,12
Srv_PROD_063,Windows,Server 2022,7
Srv_DEV_064,Windows,Server 2022,48
Srv_UAT_064,Windows,Server 2022,12
Srv_PROD_064,Windows,Server 2022,7
Srv_DEV_065,Windows,Server 2022,48
Srv_UAT_065,Windows,Server 2022,12
Srv_PROD_065,Windows,Server 2022,7
Srv_DEV_066,Windows,Server 2022,48
Srv_UAT_066,Windows,Server 2022,12
Srv_PROD_066,Windows,Server 2022,7
Srv_DEV_067,Windows,Server 2022,48
Srv_UAT_067,Windows,Server 2022,12
Srv_PROD_067,Windows,Server 2022,2
Srv_DEV_068,Windows,Server 2022,48
Srv_UAT_068,Windows,Server 2022,12
Srv_PROD_068,Windows,Server 2022,7
Srv_DEV_069,Windows,Server 2022,48
Srv_UAT_069,Windows,Server 2022,12
Srv_PROD_069,Windows,Server 2022,7
Srv_DEV_070,Windows,Server 2022,48
Srv_UAT_070,Windows,Server 2022,12
Srv_PROD_070,Windows,Server 2022,7
Srv_DEV_071,Windows,Server 2022,48
Srv_UAT_071,Windows,Server 2022,12
Srv_PROD_071,Windows,Server 2022,7
Srv_DEV_072,Windows,Server 2022,48
Srv_UAT_072,Windows,Server 2022,12
Srv_PROD_072,Windows,Server 2022,2
Srv_DEV_073,Windows,Server 2022,48
Srv_UAT_073,Windows,Server 2022,12
Srv_PROD_073,Windows,Server 2022,3
Srv_DEV_074,Windows,Server 2022,48
Srv_UAT_074,Windows,Server 2022,12
Srv_PROD_074,Windows,Server 2022,3
Srv_DEV_075,Windows,Server 2022,48
Srv_UAT_075,Windows,Server 2022,12
Srv_PROD_075,Windows,Server 2022,7
Srv_DEV_076,Windows,Server 2022,48
Srv_UAT_076,Windows,Server 2022,12
Srv_PROD_076,Windows,Server 2022,7
Srv_DEV_077,Windows,Server 2022,48
Srv_UAT_077,Windows,Server 2022,12
Srv_PROD_077,Windows,Server 2022,7
Srv_DEV_078,Windows,Server 2022,48
Srv_UAT_078,Windows,Server 2022,12
Srv_PROD_078,Windows,Server 2022,3
Srv_DEV_079,Windows,Server 2022,48
Srv_UAT_079,Windows,Server 2022,12
Srv_PROD_079,Windows,Server 2022,7
Srv_DEV_080,Windows,Server 2022,48
Srv_UAT_080,Windows,Server 2022,12
Srv_PROD_080,Windows,Server 2022,7
Srv_DEV_081,Windows,Server 2022,48
Srv_UAT_081,Windows,Server 2022,12
Srv_PROD_081,Windows,Server 2022,7
Srv_DEV_082,Windows,Server 2022,48
Srv_UAT_082,Windows,Server 2022,3
Srv_PROD_082,Windows,Server 2022,7
Srv_DEV_083,Windows,Server 2022,48
Srv_UAT_083,Windows,Server 2022,12
Srv_PROD_083,Windows,Server 2022,7
Srv_DEV_084,Windows,Server 2022,48
Srv_UAT_084,Windows,Server 2022,12
Srv_PROD_084,Windows,Server 2022,7
Srv_DEV_085,Windows,Server 2022,48
Srv_UAT_085,Windows,Server 2022,12
Srv_PROD_085,Windows,Server 2022,7
Srv_DEV_086,Windows,Server 2022,48
Srv_UAT_086,Windows,Server 2022,12
Srv_PROD_086,Windows,Server 2022,7
Srv_DEV_087,Windows,Server 2022,48
Srv_UAT_087,Windows,Server 2022,3
Srv_PROD_087,Windows,Server 2022,2
Srv_DEV_088,Windows,Server 2022,48
Srv_UAT_088,Windows,Server 2022,3
Srv_PROD_088,Windows,Server 2022,2
Srv_DEV_089,Windows,Server 2022,48
Srv_UAT_089,Windows,Server 2022,12
Srv_PROD_089,Windows,Server 2022,3
Srv_DEV_090,Windows,Server 2022,48
Srv_UAT_090,Windows,Server 2022,12
Srv_PROD_090,Windows,Server 2022,7
Srv_DEV_091,Windows,Server 2022,48
Srv_UAT_091,Windows,Server 2022,12
Srv_PROD_091,Windows,Server 2022,7
Srv_DEV_092,Windows,Server 2022,48
Srv_UAT_092,Windows,Server 2022,12
Srv_PROD_092,Windows,Server 2022,7
Srv_DEV_093,Windows,Server 2022,48
Srv_UAT_093,Windows,Server 2022,3
Srv_PROD_093,Windows,Server 2022,7
Srv_DEV_094,Windows,Server 2022,48
Srv_UAT_094,Windows,Server 2022,12
Srv_PROD_094,Windows,Server 2022,3
Srv_DEV_095,Windows,Server 2022,48
Srv_UAT_095,Windows,Server 2022,12
Srv_PROD_095,Windows,Server 2022,7
Srv_DEV_096,Windows,Server 2022,48
Srv_UAT_096,Windows,Server 2022,12
Srv_PROD_096,Windows,Server 2022,7
Srv_DEV_097,Windows,Server 2022,48
Srv_UAT_097,Windows,Server 2022,12
Srv_PROD_097,Windows,Server 2022,7
Srv_DEV_098,Windows,Server 2022,48
Srv_UAT_098,Windows,Server 2022,12
Srv_PROD_098,Windows,Server 2022,7
Srv_DEV_099,Windows,Server 2022,48
Srv_UAT_099,Windows,Server 2022,12
Srv_PROD_099,Windows,Server 2022,7
Srv_DEV_100,Windows,Server 2022,48
Srv_UAT_100,Windows,Server 2022,12
Srv_PROD_100,Windows,Server 2022,7
