server_id,cve_id,severity,epss,software,version
Srv_UAT_013,CVE-2022-32230,HIGH,0.04549,microsoft:windows_10,1809
Srv_PROD_013,CVE-2022-32230,HIGH,0.04549,microsoft:windows_10,1809
Srv_DEV_013,CVE-2020-3722,HIGH,0.15524,adobe:framemaker,2019.0.4
Srv_UAT_013,CVE-2020-3722,HIGH,0.15524,adobe:framemaker,2019.0.4
Srv_PROD_013,CVE-2020-3722,HIGH,0.15524,adobe:framemaker,2019.0.4
Srv_DEV_013,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_UAT_013,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_PROD_013,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_DEV_014,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_UAT_014,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_PROD_014,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_DEV_014,CVE-2021-22017,MEDIUM,0.79163,vmware:vcenter_server,6.7
Srv_UAT_014,CVE-2021-22017,MEDIUM,0.79163,vmware:vcenter_server,6.7
Srv_PROD_014,CVE-2021-22017,MEDIUM,0.79163,vmware:vcenter_server,6.7
Srv_DEV_014,CVE-2020-6339,MEDIUM,0.00373,sap:3d_visual_enterprise_viewer,9
Srv_UAT_014,CVE-2020-6339,MEDIUM,0.00373,sap:3d_visual_enterprise_viewer,9
Srv_PROD_014,CVE-2020-6339,MEDIUM,0.00373,sap:3d_visual_enterprise_viewer,9
Srv_DEV_015,CVE-2020-6339,MEDIUM,0.00373,sap:3d_visual_enterprise_viewer,9
Srv_UAT_015,CVE-2020-6339,MEDIUM,0.00373,sap:3d_visual_enterprise_viewer,9
Srv_PROD_015,CVE-2020-6339,MEDIUM,0.00373,sap:3d_visual_enterprise_viewer,9
Srv_DEV_016,CVE-2021-22017,MEDIUM,0.79163,vmware:vcenter_server,6.7
Srv_UAT_016,CVE-2021-22017,MEDIUM,0.79163,vmware:vcenter_server,6.7
Srv_PROD_016,CVE-2021-22017,MEDIUM,0.79163,vmware:vcenter_server,6.7
Srv_DEV_016,CVE-2021-43222,HIGH,0.08992,microsoft:windows_10,1607
Srv_UAT_016,CVE-2021-43222,HIGH,0.08992,microsoft:windows_10,1607
Srv_PROD_016,CVE-2021-43222,HIGH,0.08992,microsoft:windows_10,1607
Srv_DEV_017,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_UAT_017,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_PROD_017,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_DEV_018,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_UAT_018,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_PROD_018,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_DEV_018,CVE-2021-20021,CRITICAL,0.8495,microsoft:windows,10.0.9.6103
Srv_UAT_018,CVE-2021-20021,CRITICAL,0.8495,microsoft:windows,10.0.9.6103
Srv_PROD_018,CVE-2021-20021,CRITICAL,0.8495,microsoft:windows,10.0.9.6103
Srv_DEV_019,CVE-2022-29063,CRITICAL,0.12147,apache:ofbiz,18.12.06
Srv_UAT_019,CVE-2022-29063,CRITICAL,0.12147,apache:ofbiz,18.12.06
Srv_PROD_019,CVE-2022-29063,CRITICAL,0.12147,apache:ofbiz,18.12.06
Srv_DEV_019,CVE-2020-0929,HIGH,0.20663,microsoft:sharepoint_enterprise_server,2010
Srv_UAT_019,CVE-2020-0929,HIGH,0.20663,microsoft:sharepoint_enterprise_server,2010
Srv_PROD_019,CVE-2020-0929,HIGH,0.20663,microsoft:sharepoint_enterprise_server,2010
Srv_DEV_019,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_UAT_019,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_PROD_019,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_DEV_020,CVE-2022-29063,CRITICAL,0.12147,apache:ofbiz,18.12.06
Srv_UAT_020,CVE-2022-29063,CRITICAL,0.12147,apache:ofbiz,18.12.06
Srv_PROD_020,CVE-2022-29063,CRITICAL,0.12147,apache:ofbiz,18.12.06
Srv_DEV_020,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_UAT_020,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_PROD_020,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_DEV_020,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_UAT_020,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_PROD_020,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_DEV_021,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_UAT_021,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_PROD_021,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_DEV_022,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_UAT_022,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_PROD_022,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_DEV_022,CVE-2022-38108,HIGH,0.8543,solarwinds:orion_platform,2020.2.6
Srv_UAT_022,CVE-2022-38108,HIGH,0.8543,solarwinds:orion_platform,2020.2.6
Srv_PROD_022,CVE-2022-38108,HIGH,0.8543,solarwinds:orion_platform,2020.2.6
Srv_DEV_022,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_UAT_022,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_PROD_022,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_DEV_023,CVE-2020-0929,HIGH,0.20663,microsoft:sharepoint_enterprise_server,2010
Srv_UAT_023,CVE-2020-0929,HIGH,0.20663,microsoft:sharepoint_enterprise_server,2010
Srv_PROD_023,CVE-2020-0929,HIGH,0.20663,microsoft:sharepoint_enterprise_server,2010
Srv_DEV_023,CVE-2020-3722,HIGH,0.15524,adobe:framemaker,2019.0.4
Srv_UAT_023,CVE-2020-3722,HIGH,0.15524,adobe:framemaker,2019.0.4
Srv_PROD_023,CVE-2020-3722,HIGH,0.15524,adobe:framemaker,2019.0.4
Srv_DEV_024,CVE-2020-1240,HIGH,0.32735,microsoft:365_apps,
Srv_UAT_024,CVE-2020-1240,HIGH,0.32735,microsoft:365_apps,
Srv_PROD_024,CVE-2020-1240,HIGH,0.32735,microsoft:365_apps,
Srv_DEV_024,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_UAT_024,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_PROD_024,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_DEV_024,CVE-2021-29621,MEDIUM,0.0029,apache:airflow,1.10.0
Srv_UAT_024,CVE-2021-29621,MEDIUM,0.0029,apache:airflow,1.10.0
Srv_PROD_024,CVE-2021-29621,MEDIUM,0.0029,apache:airflow,1.10.0
Srv_DEV_025,CVE-2021-29621,MEDIUM,0.0029,apache:airflow,1.10.0
Srv_UAT_025,CVE-2021-29621,MEDIUM,0.0029,apache:airflow,1.10.0
Srv_PROD_025,CVE-2021-29621,MEDIUM,0.0029,apache:airflow,1.10.0
Srv_DEV_025,CVE-2021-44515,CRITICAL,0.94311,zohocorp:manageengine_desktop_central,10.1.2127.18
Srv_UAT_025,CVE-2021-44515,CRITICAL,0.94311,zohocorp:manageengine_desktop_central,10.1.2127.18
Srv_PROD_025,CVE-2021-44515,CRITICAL,0.94311,zohocorp:manageengine_desktop_central,10.1.2127.18
Srv_DEV_026,CVE-2021-22017,MEDIUM,0.79163,vmware:vcenter_server,6.7
Srv_UAT_026,CVE-2021-22017,MEDIUM,0.79163,vmware:vcenter_server,6.7
Srv_PROD_026,CVE-2021-22017,MEDIUM,0.79163,vmware:vcenter_server,6.7
Srv_DEV_027,CVE-2020-0607,MEDIUM,0.175,microsoft:windows_10,1607
Srv_UAT_027,CVE-2020-0607,MEDIUM,0.175,microsoft:windows_10,1607
Srv_PROD_027,CVE-2020-0607,MEDIUM,0.175,microsoft:windows_10,1607
Srv_DEV_028,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_UAT_028,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_PROD_028,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_DEV_028,CVE-2021-20021,CRITICAL,0.8495,microsoft:windows,10.0.9.6103
Srv_UAT_028,CVE-2021-20021,CRITICAL,0.8495,microsoft:windows,10.0.9.6103
Srv_PROD_028,CVE-2021-20021,CRITICAL,0.8495,microsoft:windows,10.0.9.6103
Srv_DEV_029,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_UAT_029,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_PROD_029,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_DEV_029,CVE-2022-2992,CRITICAL,0.93593,gitlab:gitlab,11.10
Srv_UAT_029,CVE-2022-2992,CRITICAL,0.93593,gitlab:gitlab,11.10
Srv_PROD_029,CVE-2022-2992,CRITICAL,0.93593,gitlab:gitlab,11.10
Srv_DEV_030,CVE-2020-6339,MEDIUM,0.00373,sap:3d_visual_enterprise_viewer,9
Srv_UAT_030,CVE-2020-6339,MEDIUM,0.00373,sap:3d_visual_enterprise_viewer,9
Srv_PROD_030,CVE-2020-6339,MEDIUM,0.00373,sap:3d_visual_enterprise_viewer,9
Srv_DEV_031,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_UAT_031,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_PROD_031,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_DEV_031,CVE-2020-3722,HIGH,0.15524,adobe:framemaker,2019.0.4
Srv_UAT_031,CVE-2020-3722,HIGH,0.15524,adobe:framemaker,2019.0.4
Srv_PROD_031,CVE-2020-3722,HIGH,0.15524,adobe:framemaker,2019.0.4
Srv_DEV_032,CVE-2022-38108,HIGH,0.8543,solarwinds:orion_platform,2020.2.6
Srv_UAT_032,CVE-2022-38108,HIGH,0.8543,solarwinds:orion_platform,2020.2.6
Srv_PROD_032,CVE-2022-38108,HIGH,0.8543,solarwinds:orion_platform,2020.2.6
Srv_DEV_033,CVE-2020-0929,HIGH,0.20663,microsoft:sharepoint_enterprise_server,2010
Srv_UAT_033,CVE-2020-0929,HIGH,0.20663,microsoft:sharepoint_enterprise_server,2010
Srv_PROD_033,CVE-2020-0929,HIGH,0.20663,microsoft:sharepoint_enterprise_server,2010
Srv_DEV_034,CVE-2022-38108,HIGH,0.8543,solarwinds:orion_platform,2020.2.6
Srv_UAT_034,CVE-2022-38108,HIGH,0.8543,solarwinds:orion_platform,2020.2.6
Srv_PROD_034,CVE-2022-38108,HIGH,0.8543,solarwinds:orion_platform,2020.2.6
Srv_DEV_034,CVE-2022-32230,HIGH,0.04549,microsoft:windows_10,1809
Srv_UAT_034,CVE-2022-32230,HIGH,0.04549,microsoft:windows_10,1809
Srv_PROD_034,CVE-2022-32230,HIGH,0.04549,microsoft:windows_10,1809
Srv_DEV_035,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_UAT_035,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_PROD_035,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_DEV_036,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_UAT_036,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_PROD_036,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_DEV_036,CVE-2021-42132,HIGH,0.51662,ivanti:avalanche,6.3.3
Srv_UAT_036,CVE-2021-42132,HIGH,0.51662,ivanti:avalanche,6.3.3
Srv_PROD_036,CVE-2021-42132,HIGH,0.51662,ivanti:avalanche,6.3.3
Srv_DEV_037,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_UAT_037,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_PROD_037,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_DEV_037,CVE-2020-1240,HIGH,0.32735,microsoft:365_apps,
Srv_UAT_037,CVE-2020-1240,HIGH,0.32735,microsoft:365_apps,
Srv_PROD_037,CVE-2020-1240,HIGH,0.32735,microsoft:365_apps,
Srv_DEV_037,CVE-2020-0607,MEDIUM,0.175,microsoft:windows_10,1607
Srv_UAT_037,CVE-2020-0607,MEDIUM,0.175,microsoft:windows_10,1607
Srv_PROD_037,CVE-2020-0607,MEDIUM,0.175,microsoft:windows_10,1607
Srv_DEV_038,CVE-2021-44515,CRITICAL,0.94311,zohocorp:manageengine_desktop_central,10.1.2127.18
Srv_UAT_038,CVE-2021-44515,CRITICAL,0.94311,zohocorp:manageengine_desktop_central,10.1.2127.18
Srv_PROD_038,CVE-2021-44515,CRITICAL,0.94311,zohocorp:manageengine_desktop_central,10.1.2127.18
Srv_DEV_038,CVE-2020-0929,HIGH,0.20663,microsoft:sharepoint_enterprise_server,2010
Srv_UAT_038,CVE-2020-0929,HIGH,0.20663,microsoft:sharepoint_enterprise_server,2010
Srv_PROD_038,CVE-2020-0929,HIGH,0.20663,microsoft:sharepoint_enterprise_server,2010
Srv_DEV_038,CVE-2020-1240,HIGH,0.32735,microsoft:365_apps,
Srv_UAT_038,CVE-2020-1240,HIGH,0.32735,microsoft:365_apps,
Srv_PROD_038,CVE-2020-1240,HIGH,0.32735,microsoft:365_apps,
Srv_DEV_039,CVE-2022-2992,CRITICAL,0.93593,gitlab:gitlab,11.10
Srv_UAT_039,CVE-2022-2992,CRITICAL,0.93593,gitlab:gitlab,11.10
Srv_PROD_039,CVE-2022-2992,CRITICAL,0.93593,gitlab:gitlab,11.10
Srv_DEV_039,CVE-2020-0929,HIGH,0.20663,microsoft:sharepoint_enterprise_server,2010
Srv_UAT_039,CVE-2020-0929,HIGH,0.20663,microsoft:sharepoint_enterprise_server,2010
Srv_PROD_039,CVE-2020-0929,HIGH,0.20663,microsoft:sharepoint_enterprise_server,2010
Srv_DEV_039,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_UAT_039,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_PROD_039,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_DEV_040,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_UAT_040,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_PROD_040,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_DEV_040,CVE-2021-29621,MEDIUM,0.0029,apache:airflow,1.10.0
Srv_UAT_040,CVE-2021-29621,MEDIUM,0.0029,apache:airflow,1.10.0
Srv_PROD_040,CVE-2021-29621,MEDIUM,0.0029,apache:airflow,1.10.0
Srv_DEV_040,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_UAT_040,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_PROD_040,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_DEV_041,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_UAT_041,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_PROD_041,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_DEV_041,CVE-2022-32230,HIGH,0.04549,microsoft:windows_10,1809
Srv_UAT_041,CVE-2022-32230,HIGH,0.04549,microsoft:windows_10,1809
Srv_PROD_041,CVE-2022-32230,HIGH,0.04549,microsoft:windows_10,1809
Srv_DEV_042,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_UAT_042,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_PROD_042,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_DEV_043,CVE-2022-38108,HIGH,0.8543,solarwinds:orion_platform,2020.2.6
Srv_UAT_043,CVE-2022-38108,HIGH,0.8543,solarwinds:orion_platform,2020.2.6
Srv_PROD_043,CVE-2022-38108,HIGH,0.8543,solarwinds:orion_platform,2020.2.6
Srv_DEV_043,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_UAT_043,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_PROD_043,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_DEV_044,CVE-2021-20021,CRITICAL,0.8495,microsoft:windows,10.0.9.6103
Srv_UAT_044,CVE-2021-20021,CRITICAL,0.8495,microsoft:windows,10.0.9.6103
Srv_PROD_044,CVE-2021-20021,CRITICAL,0.8495,microsoft:windows,10.0.9.6103
Srv_DEV_045,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_UAT_045,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_PROD_045,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_DEV_045,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_UAT_045,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_PROD_045,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_DEV_046,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_UAT_046,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_PROD_046,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_DEV_046,CVE-2021-29621,MEDIUM,0.0029,apache:airflow,1.10.0
Srv_UAT_046,CVE-2021-29621,MEDIUM,0.0029,apache:airflow,1.10.0
Srv_PROD_046,CVE-2021-29621,MEDIUM,0.0029,apache:airflow,1.10.0
Srv_DEV_047,CVE-2021-42132,HIGH,0.51662,ivanti:avalanche,6.3.3
Srv_UAT_047,CVE-2021-42132,HIGH,0.51662,ivanti:avalanche,6.3.3
Srv_PROD_047,CVE-2021-42132,HIGH,0.51662,ivanti:avalanche,6.3.3
Srv_DEV_047,CVE-2022-38108,HIGH,0.8543,solarwinds:orion_platform,2020.2.6
Srv_UAT_047,CVE-2022-38108,HIGH,0.8543,solarwinds:orion_platform,2020.2.6
Srv_PROD_047,CVE-2022-38108,HIGH,0.8543,solarwinds:orion_platform,2020.2.6
Srv_DEV_047,CVE-2021-22017,MEDIUM,0.79163,vmware:vcenter_server,6.7
Srv_UAT_047,CVE-2021-22017,MEDIUM,0.79163,vmware:vcenter_server,6.7
Srv_PROD_047,CVE-2021-22017,MEDIUM,0.79163,vmware:vcenter_server,6.7
Srv_DEV_048,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_UAT_048,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_PROD_048,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
