server_id,day,start_h,end_h
Srv_UAT_015,6,0,24
Srv_PROD_015,1,1,5
Srv_PROD_015,2,1,5
Srv_PROD_015,3,1,5
Srv_PROD_015,4,1,5
Srv_DEV_016,5,0,24
Srv_DEV_016,6,0,24
Srv_UAT_016,5,0,24
Srv_UAT_016,6,0,24
Srv_PROD_016,1,1,5
Srv_PROD_016,2,1,5
Srv_PROD_016,3,1,5
Srv_PROD_016,4,1,5
Srv_DEV_017,5,0,24
Srv_DEV_017,6,0,24
Srv_UAT_017,5,0,24
Srv_UAT_017,6,0,24
Srv_PROD_017,1,1,5
Srv_PROD_017,2,1,5
Srv_PROD_017,3,1,5
Srv_PROD_017,4,1,5
Srv_DEV_018,5,0,24
Srv_DEV_018,6,0,24
Srv_UAT_018,5,0,24
Srv_UAT_018,6,0,24
Srv_PROD_018,1,1,5
Srv_PROD_018,2,1,5
Srv_PROD_018,3,1,5
Srv_PROD_018,4,1,5
Srv_DEV_019,5,0,24
Srv_DEV_019,6,0,24
Srv_UAT_019,5,0,24
Srv_UAT_019,6,0,24
Srv_PROD_019,1,1,5
Srv_PROD_019,2,1,5
Srv_PROD_019,3,1,5
Srv_PROD_019,4,1,5
Srv_DEV_020,5,0,24
Srv_DEV_020,6,0,24
Srv_UAT_020,5,0,24
Srv_UAT_020,6,0,24
Srv_PROD_020,1,1,5
Srv_PROD_020,2,1,5
Srv_PROD_020,3,1,5
Srv_PROD_020,4,1,5
Srv_DEV_021,5,0,24
Srv_DEV_021,6,0,24
Srv_UAT_021,5,0,24
Srv_UAT_021,6,0,24
Srv_PROD_021,1,1,5
Srv_PROD_021,2,1,5
Srv_PROD_021,3,1,5
Srv_PROD_021,4,1,5
Srv_DEV_022,5,0,24
Srv_DEV_022,6,0,24
Srv_UAT_022,5,0,24
Srv_UAT_022,6,0,24
Srv_PROD_022,1,1,5
Srv_PROD_022,2,1,5
Srv_PROD_022,3,1,5
Srv_PROD_022,4,1,5
Srv_DEV_023,5,0,24
Srv_DEV_023,6,0,24
Srv_UAT_023,5,0,24
Srv_UAT_023,6,0,24
Srv_PROD_023,1,1,5
Srv_PROD_023,2,1,5
Srv_PROD_023,3,1,5
Srv_PROD_023,4,1,5
Srv_DEV_024,5,0,24
Srv_DEV_024,6,0,24
Srv_UAT_024,5,0,24
Srv_UAT_024,6,0,24
Srv_PROD_024,1,1,5
Srv_PROD_024,2,1,5
Srv_PROD_024,3,1,5
Srv_PROD_024,4,1,5
Srv_DEV_025,5,0,24
Srv_DEV_025,6,0,24
Srv_UAT_025,5,0,24
Srv_UAT_025,6,0,24
Srv_PROD_025,1,1,5
Srv_PROD_025,2,1,5
Srv_PROD_025,3,1,5
Srv_PROD_025,4,1,5
Srv_DEV_026,5,0,24
Srv_DEV_026,6,0,24
Srv_UAT_026,5,0,24
Srv_UAT_026,6,0,24
Srv_PROD_026,1,1,5
Srv_PROD_026,2,1,5
Srv_PROD_026,3,1,5
Srv_PROD_026,4,1,5
Srv_DEV_027,5,0,24
Srv_DEV_027,6,0,24
Srv_UAT_027,5,0,24
Srv_UAT_027,6,0,24
Srv_PROD_027,1,1,5
Srv_PROD_027,2,1,5
Srv_PROD_027,3,1,5
Srv_PROD_027,4,1,5
Srv_DEV_028,5,0,24
Srv_DEV_028,6,0,24
Srv_UAT_028,5,0,24
Srv_UAT_028,6,0,24
Srv_PROD_028,1,1,5
Srv_PROD_028,2,1,5
Srv_PROD_028,3,1,5
Srv_PROD_028,4,1,5
Srv_DEV_029,5,0,24
Srv_DEV_029,6,0,24
Srv_UAT_029,5,0,24
Srv_UAT_029,6,0,24
Srv_PROD_029,1,1,5
Srv_PROD_029,2,1,5
Srv_PROD_029,3,1,5
Srv_PROD_029,4,1,5
Srv_DEV_030,5,0,24
Srv_DEV_030,6,0,24
Srv_UAT_030,5,0,24
Srv_UAT_030,6,0,24
Srv_PROD_030,1,1,5
Srv_PROD_030,2,1,5
Srv_PROD_030,3,1,5
Srv_PROD_030,4,1,5
Srv_DEV_031,5,0,24
Srv_DEV_031,6,0,24
Srv_UAT_031,5,0,24
Srv_UAT_031,6,0,24
Srv_PROD_031,1,1,5
Srv_PROD_031,2,1,5
Srv_PROD_031,3,1,5
Srv_PROD_031,4,1,5
Srv_DEV_032,5,0,24
Srv_DEV_032,6,0,24
Srv_UAT_032,5,0,24
Srv_UAT_032,6,0,24
Srv_PROD_032,1,1,5
Srv_PROD_032,2,1,5
Srv_PROD_032,3,1,5
Srv_PROD_032,4,1,5
Srv_DEV_033,5,0,24
Srv_DEV_033,6,0,24
Srv_UAT_033,5,0,24
Srv_UAT_033,6,0,24
Srv_PROD_033,1,1,5
Srv_PROD_033,2,1,5
Srv_PROD_033,3,1,5
Srv_PROD_033,4,1,5
